City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,35.6,93,75,24.16,AR,1603157210
Broome,42.25,-75.83,55.99,93,90,8.05,US,1603157265
Kruisfontein,-34.0,24.73,60.01,70,100,4.0,ZA,1603157265
Mar del Plata,-38.0,-57.56,54.0,62,0,16.11,AR,1603157265
Clyde River,70.47,-68.59,32.0,91,1,18.34,CA,1603157265
Busselton,-33.65,115.33,68.0,64,0,4.0,AU,1603157266
Punta Arenas,-53.15,-70.92,39.2,80,20,25.28,CL,1603157022
Avarua,-21.21,-159.78,80.6,74,33,4.7,CK,1603157253
Mercedes,-34.65,-59.43,62.01,61,100,4.0,AR,1603157266
Atuona,-9.8,-139.03,78.57,74,3,18.81,PF,1603157266
Yellowknife,62.46,-114.35,27.0,85,75,2.24,CA,1603157266
Baoding,38.85,115.49,59.4,35,100,5.17,CN,1603157266
Chokurdakh,70.63,147.92,16.16,98,94,6.26,RU,1603157266
Safaga,26.73,33.94,77.0,41,0,6.93,EG,1603157266
Arraial do Cabo,-22.97,-42.03,73.4,78,20,18.34,BR,1603157267
Verkhoyansk,67.54,133.38,12.92,90,100,3.36,RU,1603157267
Shimoda,34.67,138.95,66.2,59,75,20.8,JP,1603157267
Saint Paul Harbor,57.79,-152.41,48.2,45,1,14.99,US,1603157267
Sabang,5.89,95.32,82.22,74,54,7.81,ID,1603157267
Bredasdorp,-34.53,20.04,57.2,76,93,11.41,ZA,1603157267
Rikitea,-23.12,-134.97,74.41,76,0,11.1,PF,1603157248
Saint-Philippe,-21.36,55.77,69.8,60,37,4.7,RE,1603157267
Hobart,-42.88,147.33,66.0,58,40,10.29,AU,1603157180
Hong Kong,22.29,114.16,75.99,69,0,1.99,HK,1603157071
Makakilo City,21.35,-158.09,84.2,66,1,11.41,US,1603157162
Bitung,1.45,125.18,89.6,55,20,5.82,ID,1603157058
George Town,5.41,100.34,82.4,83,20,4.7,MY,1603157051
Korla,41.76,86.15,42.01,89,0,4.0,CN,1603157268
Wahpeton,46.27,-96.61,33.8,64,90,3.4,US,1603157268
Alta Floresta,-9.88,-56.09,72.45,93,92,2.62,BR,1603157255
Hermanus,-34.42,19.23,57.99,74,15,4.0,ZA,1603157268
Bouaké,7.69,-5.02,73.4,94,7,4.7,CI,1603157268
Vestmannaeyjar,63.44,-20.27,39.56,79,77,1.77,IS,1603157268
Vozhega,60.47,40.22,32.23,98,100,2.06,RU,1603157268
Puerto Ayora,-0.74,-90.35,69.01,92,98,5.99,EC,1603157269
Saint George,37.1,-113.58,80.6,11,1,11.41,US,1603157026
Barrow,71.29,-156.79,24.8,79,90,10.29,US,1603157104
Colac,-38.33,143.58,55.99,71,15,3.6,AU,1603157269
Trairi,-3.28,-39.27,78.89,79,3,13.38,BR,1603157269
Naze,28.37,129.48,80.6,74,40,21.92,JP,1603157269
Kahului,20.89,-156.47,91.4,43,1,9.17,US,1603157269
Warrnambool,-38.38,142.48,55.92,73,33,2.66,AU,1603157269
Mehamn,71.04,27.85,37.83,79,100,14.47,NO,1603157269
Khovd,48.01,91.64,25.34,82,0,2.44,MN,1603157269
Bungoma,0.56,34.56,62.65,88,94,2.55,KE,1603157270
Narsaq,60.92,-46.05,33.8,82,100,3.36,GL,1603157270
Vaini,-21.2,-175.2,77.0,69,40,12.75,TO,1603157270
Cidreira,-30.18,-50.21,67.66,91,0,14.79,BR,1603157270
Khatanga,71.97,102.5,11.88,97,89,2.26,RU,1603157270
Lompoc,34.64,-120.46,60.8,87,75,6.93,US,1603157270
Thompson,55.74,-97.86,28.4,63,90,5.82,CA,1603157270
Martos,37.72,-3.97,68.0,32,100,3.51,ES,1603157271
Voh,-20.97,164.7,84.78,45,0,4.54,NC,1603157271
Darhan,49.49,105.92,29.77,81,100,18.1,MN,1603157271
Kirksville,40.19,-92.58,39.0,74,90,9.17,US,1603157271
Perth,-31.93,115.83,70.0,56,0,4.7,AU,1603157238
Outlook,51.5,-107.05,25.0,57,100,8.01,CA,1603157271
Godfrey,38.96,-90.19,48.99,93,90,5.82,US,1603157271
Sakakah,29.97,40.21,62.6,17,0,3.06,SA,1603157272
Macenta,8.54,-9.47,66.76,93,92,0.74,GN,1603157272
Bluff,-46.6,168.33,53.01,71,54,13.0,NZ,1603157272
Tateyama,34.98,139.87,66.2,59,75,20.8,JP,1603157272
Hasaki,35.73,140.83,64.4,82,75,10.29,JP,1603157272
Zhangaözen,43.3,52.8,52.11,86,0,5.64,KZ,1603157272
